Title,Show,Season,Episode,URL,target
"16 and Recovering",16 and Recovering,,,https://www.mtv.com/video-clips/6ai9wr,https://www.paramountplus.com/brands/mtv/
"Aeon Flux",Aeon Flux,,,https://www.mtv.com/video-clips/t4q8ye, https://www.paramountplus.com/shows/aeon-flux/
"Aeon Flux",Aeon Flux,,,https://www.mtv.com/video-clips/o2ecm2, https://www.paramountplus.com/shows/aeon-flux/
"Aeon Flux",Aeon Flux,,,https://www.mtv.com/video-clips/cpi0c1, https://www.paramountplus.com/shows/aeon-flux/
"Are You The One: Second Chances",Are You The One: Second Chances,,,https://www.mtv.com/video-clips/c8993r,https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One: Second Chances",Are You The One: Second Chances,,,https://www.mtv.com/video-clips/c8993r,https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/bg93rx, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/jumz0k, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/kvn1p0, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/0wquq6, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/ndgten, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/4ldrzt, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/ukybt9, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/twojf0, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/8ap7i1, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/nkjqfj, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/qfy7em, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/z7qo5y, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/kvc1so, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/8yqabc, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/968e78, https://www.paramountplus.com/shows/are-you-the-one/
"Are You The One?",Are You The One?,,,https://www.mtv.com/video-clips/u0ce43, https://www.paramountplus.com/shows/are-you-the-one/
"Awkward.",Awkward.,1,7,https://www.mtv.com/episodes/s9950n,https://www.paramountplus.com/shows/video/jekCNpCj1teG8WdJLInAULtTXt72n6K_/
"Awkward.",Awkward.,2,3,https://www.mtv.com/episodes/22aic0,https://www.paramountplus.com/shows/video/_PSyGuMgpgIruNM2s_0zNWmVIC_YLZd9/
"Basic to Bougie",Basic to Bougie,,,https://www.mtv.com/video-clips/a1pvy7,https://www.paramountplus.com/brands/mtv/
"Broke A$$ Game Show",Broke A$$ Game Show,2,6,https://www.mtv.com/episodes/cr2yx6,https://www.paramountplus.com/brands/mtv/
